date,open,high,low,close,change,volume
Mon 13 Jul '26,67.5,69.8,67.0,69.7,+0.1 (+0.14%),1.03 K
Fri 10 Jul '26,67.5,69.7,67.5,69.6,+2.6 (+3.88%),982
Thu 09 Jul '26,69.8,69.8,67.0,67.0,−2.8 (−4.01%),2.16 K
Wed 08 Jul '26,69.9,69.9,66.5,69.8,−0.1 (−0.14%),2.08 K
Tue 07 Jul '26,70.0,70.0,67.1,69.9,+2.4 (+3.56%),3.58 K
Mon 06 Jul '26,68.0,68.9,67.4,67.5,−0.5 (−0.74%),2.03 K
Fri 03 Jul '26,69.0,69.8,68.0,68.0,0.0 (0.00%),7.64 K
Thu 02 Jul '26,67.6,70.0,67.6,68.0,−2.3 (−3.27%),3.37 K
Wed 01 Jul '26,70.3,70.3,70.3,70.3,+0.7 (+1.01%),101
Tue 30 Jun '26,67.6,70.5,67.6,69.6,−1.4 (−1.97%),771
Fri 26 Jun '26,69.8,71.3,67.5,71.0,+1.0 (+1.43%),4.33 K
Thu 25 Jun '26,68.0,71.5,68.0,70.0,−1.7 (−2.37%),4.53 K
Wed 24 Jun '26,67.8,71.9,67.8,71.7,+4.0 (+5.91%),1.95 K
Tue 23 Jun '26,68.0,68.0,67.7,67.7,−0.3 (−0.44%),4.2 K
Mon 22 Jun '26,68.0,68.0,67.8,68.0,0.0 (0.00%),9.21 K
Fri 19 Jun '26,70.5,70.5,68.0,68.0,0.0 (0.00%),15.75 K
Thu 18 Jun '26,69.0,71.0,68.0,68.0,−2.0 (−2.86%),39.63 K
Wed 17 Jun '26,71.0,72.9,70.0,70.0,−0.8 (−1.13%),108
Tue 16 Jun '26,71.0,71.0,70.0,70.8,−0.2 (−0.28%),2.52 K
Mon 15 Jun '26,69.7,71.0,69.7,71.0,+1.3 (+1.87%),2.33 K
Fri 12 Jun '26,69.0,69.7,69.0,69.7,+2.9 (+4.34%),6 K
Thu 11 Jun '26,67.2,67.2,66.8,66.8,−1.2 (−1.76%),9.14 K
Wed 10 Jun '26,67.1,69.7,67.1,68.0,+0.9 (+1.34%),9.76 K
Tue 09 Jun '26,68.0,68.0,67.1,67.1,−1.9 (−2.75%),606
Mon 08 Jun '26,69.0,69.0,68.0,69.0,−1.0 (−1.43%),4.71 K
Fri 05 Jun '26,70.0,70.0,70.0,70.0,0.0 (0.00%),1.51 K
Thu 04 Jun '26,69.0,72.5,69.0,70.0,−2.8 (−3.85%),388
Wed 03 Jun '26,73.0,73.0,72.8,72.8,+1.3 (+1.82%),81
Tue 02 Jun '26,72.0,72.0,69.5,71.5,−0.8 (−1.11%),1.31 K
Mon 01 Jun '26,72.0,75.0,72.0,72.3,−0.7 (−0.96%),14.1 K
Fri 29 May '26,73.0,73.2,72.1,73.0,+0.8 (+1.11%),21.66 K
Wed 27 May '26,70.0,72.2,70.0,72.2,+1.2 (+1.69%),7.28 K
Tue 26 May '26,72.0,72.0,68.4,71.0,−0.8 (−1.11%),3.75 K
Mon 25 May '26,72.0,72.2,71.8,71.8,+0.4 (+0.56%),4.43 K
Fri 22 May '26,71.5,71.5,69.0,71.4,+2.4 (+3.48%),13.3 K
Thu 21 May '26,71.4,71.4,69.0,69.0,+0.4 (+0.58%),2.71 K
Wed 20 May '26,71.9,71.9,68.6,68.6,−0.4 (−0.58%),9.54 K
Tue 19 May '26,72.0,72.0,68.8,69.0,+1.0 (+1.47%),2.58 K
Mon 18 May '26,72.0,72.0,68.0,68.0,−3.0 (−4.23%),12.2 K
Fri 15 May '26,72.0,72.0,71.0,71.0,0.0 (0.00%),753
Thu 14 May '26,72.0,72.0,71.0,71.0,−1.0 (−1.39%),1.68 K
Wed 13 May '26,72.0,72.3,72.0,72.0,0.0 (0.00%),10.51 K
Tue 12 May '26,73.0,73.0,71.1,72.0,−1.0 (−1.37%),5.09 K
Mon 11 May '26,72.0,73.1,72.0,73.0,+1.0 (+1.39%),2.16 K
Fri 08 May '26,73.1,73.1,72.0,72.0,0.0 (0.00%),1.4 K
Thu 07 May '26,73.3,73.4,71.3,72.0,−0.3 (−0.41%),2.17 K
Wed 06 May '26,72.1,72.5,72.1,72.3,+0.3 (+0.42%),4.23 K
Tue 05 May '26,71.0,72.5,70.2,72.0,+0.6 (+0.84%),1.4 K
Mon 04 May '26,71.9,72.9,71.4,71.4,−0.3 (−0.42%),12.45 K
Thu 30 Apr '26,71.9,73.9,71.7,71.7,−0.3 (−0.42%),19.91 K
Wed 29 Apr '26,70.0,72.0,68.9,72.0,+2.0 (+2.86%),8.53 K
Tue 28 Apr '26,70.0,70.0,69.4,70.0,+0.3 (+0.43%),6.83 K
Mon 27 Apr '26,72.0,72.0,69.6,69.7,−1.3 (−1.83%),47.24 K
Fri 24 Apr '26,72.0,72.0,71.0,71.0,−0.5 (−0.70%),848
Thu 23 Apr '26,70.5,71.7,70.2,71.5,−0.2 (−0.28%),282
Wed 22 Apr '26,72.0,72.0,71.7,71.7,+1.5 (+2.14%),480
Tue 21 Apr '26,69.5,73.0,69.5,70.2,+0.2 (+0.29%),12.26 K
Mon 20 Apr '26,70.5,70.5,69.0,70.0,−0.1 (−0.14%),44.49 K
Fri 17 Apr '26,71.5,71.5,69.5,70.1,−1.4 (−1.96%),73.32 K
Thu 16 Apr '26,73.2,73.2,71.4,71.5,−0.5 (−0.69%),6.66 K
Wed 15 Apr '26,73.0,73.1,72.0,72.0,−1.9 (−2.57%),10 K
Fri 10 Apr '26,74.5,74.5,71.0,73.9,−2.0 (−2.64%),25.65 K
Thu 09 Apr '26,76.7,76.7,75.0,75.9,−0.1 (−0.13%),89.33 K
Wed 08 Apr '26,74.1,76.6,74.1,76.0,+1.9 (+2.56%),41.34 K
Tue 07 Apr '26,72.3,74.3,72.0,74.1,+1.8 (+2.49%),5.91 K
Mon 06 Apr '26,73.0,73.0,69.0,72.3,+1.3 (+1.83%),58.33 K
Thu 02 Apr '26,75.0,75.0,71.0,71.0,0.0 (0.00%),16.72 K
Tue 31 Mar '26,70.5,71.8,69.7,71.0,+1.2 (+1.72%),156.15 K
Mon 30 Mar '26,69.7,70.0,69.0,69.8,+0.1 (+0.14%),2.81 K
Fri 27 Mar '26,69.7,69.7,69.7,69.7,0.0 (0.00%),15
Thu 26 Mar '26,69.9,69.9,65.1,69.7,−0.3 (−0.43%),15.61 K
Wed 25 Mar '26,69.7,70.0,68.0,70.0,+5.0 (+7.69%),19.36 K
Tue 24 Mar '26,64.6,66.9,64.6,65.0,−1.0 (−1.52%),3.95 K
Mon 23 Mar '26,64.0,66.0,63.0,66.0,−0.5 (−0.75%),3.3 K
Fri 20 Mar '26,64.6,66.5,64.5,66.5,+1.9 (+2.94%),4.22 K
Thu 19 Mar '26,66.6,66.6,64.6,64.6,−2.0 (−3.00%),1.21 K
Wed 18 Mar '26,65.0,66.9,64.0,66.6,+2.6 (+4.06%),4.08 K
Tue 17 Mar '26,68.0,68.0,64.0,64.0,−3.0 (−4.48%),3
Mon 16 Mar '26,67.9,67.9,64.0,67.0,−0.9 (−1.33%),7.54 K
Fri 13 Mar '26,67.6,75.4,67.2,67.9,+0.3 (+0.44%),5.48 K
Thu 12 Mar '26,68.3,70.0,67.6,67.6,−0.5 (−0.73%),6.24 K
Wed 11 Mar '26,69.9,69.9,68.1,68.1,−0.8 (−1.16%),5.39 K
Tue 10 Mar '26,76.0,76.0,68.2,68.9,−0.1 (−0.14%),5.03 K
Mon 09 Mar '26,70.0,70.0,68.0,69.0,−1.2 (−1.71%),15.41 K
Fri 06 Mar '26,70.2,70.2,70.2,70.2,−3.5 (−4.75%),61
Thu 05 Mar '26,70.0,74.0,70.0,73.7,+3.7 (+5.29%),3.16 K
Wed 04 Mar '26,67.8,71.0,67.8,70.0,+2.0 (+2.94%),16.33 K
Tue 03 Mar '26,67.1,72.0,67.1,68.0,−7.0 (−9.33%),20.3 K
Fri 27 Feb '26,77.5,77.5,75.0,75.0,−2.5 (−3.23%),7.51 K
Thu 26 Feb '26,75.1,78.0,75.1,77.5,+1.5 (+1.97%),4.91 K
Wed 25 Feb '26,77.0,78.0,76.0,76.0,−1.0 (−1.30%),6.64 K
Tue 24 Feb '26,79.1,79.1,77.0,77.0,−0.5 (−0.65%),2.27 K
Mon 23 Feb '26,79.3,79.3,77.5,77.5,−1.5 (−1.90%),7.63 K
Fri 20 Feb '26,79.5,79.5,78.0,79.0,0.0 (0.00%),10.28 K
Thu 19 Feb '26,78.1,79.7,78.1,79.0,+1.0 (+1.28%),5.52 K
Wed 18 Feb '26,77.9,79.3,77.9,78.0,−0.9 (−1.14%),102
Tue 17 Feb '26,77.5,78.9,77.5,78.9,+0.4 (+0.51%),2.49 K
Mon 16 Feb '26,77.0,79.6,76.8,78.5,+1.6 (+2.08%),8.92 K
Fri 13 Feb '26,77.0,77.0,75.1,76.9,−0.1 (−0.13%),1.02 K
Thu 12 Feb '26,77.8,77.8,76.5,77.0,+2.0 (+2.67%),21.14 K
Wed 11 Feb '26,74.7,75.0,74.7,75.0,0.0 (0.00%),418
Tue 10 Feb '26,75.5,75.5,75.0,75.0,0.0 (0.00%),13.41 K
Mon 09 Feb '26,74.5,76.0,74.5,75.0,+0.5 (+0.67%),10.61 K
Fri 06 Feb '26,75.0,75.1,74.4,74.5,−0.5 (−0.67%),7.68 K
Thu 05 Feb '26,76.0,76.0,75.0,75.0,0.0 (0.00%),6.27 K
Tue 03 Feb '26,75.0,76.9,75.0,75.0,+0.4 (+0.54%),42.67 K
Mon 02 Feb '26,75.0,75.0,74.6,74.6,−0.4 (−0.53%),3.6 K
Fri 30 Jan '26,77.0,77.0,75.0,75.0,+0.1 (+0.13%),6.89 K
Thu 29 Jan '26,75.0,75.0,74.7,74.9,+0.3 (+0.40%),52.4 K
Wed 28 Jan '26,75.0,75.0,74.6,74.6,−0.3 (−0.40%),10.48 K
Tue 27 Jan '26,75.0,75.0,74.1,74.9,−0.1 (−0.13%),33.99 K
Mon 26 Jan '26,79.9,79.9,75.0,75.0,−1.3 (−1.70%),46.95 K
Fri 23 Jan '26,76.0,78.1,75.7,76.3,+0.4 (+0.53%),43.12 K
Thu 22 Jan '26,76.0,76.9,75.7,75.9,−0.1 (−0.13%),8.68 K
Wed 21 Jan '26,77.6,77.6,75.8,76.0,−1.8 (−2.31%),5.73 K
Tue 20 Jan '26,78.0,78.0,77.8,77.8,−0.1 (−0.13%),6.39 K
Mon 19 Jan '26,79.0,79.0,77.9,77.9,−1.1 (−1.39%),8.36 K
Fri 16 Jan '26,80.0,80.0,79.0,79.0,0.0 (0.00%),27.45 K
Wed 14 Jan '26,79.0,79.9,78.9,79.0,0.0 (0.00%),15.74 K
Tue 13 Jan '26,80.0,80.0,79.0,79.0,−0.9 (−1.13%),25.37 K
Mon 12 Jan '26,81.9,81.9,79.6,79.9,−0.1 (−0.12%),11.47 K
Fri 09 Jan '26,81.0,82.6,79.9,80.0,−1.0 (−1.23%),18.24 K
Thu 08 Jan '26,81.5,83.0,79.6,81.0,−0.5 (−0.61%),31.14 K
Wed 07 Jan '26,83.6,83.6,81.5,81.5,0.0 (0.00%),361
Tue 06 Jan '26,83.6,83.6,81.5,81.5,−1.5 (−1.81%),3.92 K
Mon 05 Jan '26,83.6,83.6,83.0,83.0,−0.8 (−0.95%),14.53 K
Fri 02 Jan '26,84.0,84.0,83.0,83.8,+2.8 (+3.46%),15.04 K
