date,open,high,low,close,change,volume
Mon 13 Jul '26,28.0,28.0,27.3,27.4,−0.4 (−1.44%),23.01 K
Fri 10 Jul '26,28.0,28.3,27.1,27.8,−0.4 (−1.42%),63.74 K
Thu 09 Jul '26,28.0,28.5,28.0,28.2,+0.1 (+0.36%),39.53 K
Wed 08 Jul '26,27.9,28.4,27.9,28.1,−0.3 (−1.06%),46.43 K
Tue 07 Jul '26,28.4,28.8,28.0,28.4,−0.6 (−2.07%),87.36 K
Mon 06 Jul '26,29.4,29.4,28.1,29.0,0.0 (0.00%),53.5 K
Fri 03 Jul '26,28.6,29.0,28.3,29.0,+0.5 (+1.75%),42.91 K
Thu 02 Jul '26,29.0,29.5,28.4,28.5,−0.7 (−2.40%),76.83 K
Wed 01 Jul '26,29.4,29.5,28.8,29.2,0.0 (0.00%),65.41 K
Tue 30 Jun '26,29.3,29.3,29.0,29.2,−0.2 (−0.68%),77.5 K
Fri 26 Jun '26,30.2,30.2,29.3,29.4,−0.6 (−2.00%),44.28 K
Thu 25 Jun '26,30.8,30.8,28.8,30.0,+0.4 (+1.35%),270.7 K
Wed 24 Jun '26,30.8,30.8,29.5,29.6,−0.3 (−1.00%),63.56 K
Tue 23 Jun '26,30.9,31.0,29.8,29.9,−0.2 (−0.66%),177.72 K
Mon 22 Jun '26,30.5,30.5,29.5,30.1,−0.4 (−1.31%),75.82 K
Fri 19 Jun '26,31.4,31.4,30.0,30.5,−0.5 (−1.61%),119.99 K
Thu 18 Jun '26,31.5,31.5,30.8,31.0,0.0 (0.00%),197.52 K
Wed 17 Jun '26,30.5,31.4,30.5,31.0,+0.3 (+0.98%),218.11 K
Tue 16 Jun '26,30.3,31.0,30.1,30.7,+0.5 (+1.66%),331.06 K
Mon 15 Jun '26,29.0,31.5,29.0,30.2,+2.0 (+7.09%),206.26 K
Fri 12 Jun '26,28.0,29.0,27.0,28.2,+1.2 (+4.44%),472.28 K
Thu 11 Jun '26,27.2,27.7,26.9,27.0,−0.5 (−1.82%),155.31 K
Wed 10 Jun '26,27.5,27.9,27.4,27.5,0.0 (0.00%),105.28 K
Tue 09 Jun '26,27.5,27.6,26.9,27.5,+0.5 (+1.85%),690.22 K
Mon 08 Jun '26,27.6,27.6,26.8,27.0,−1.0 (−3.57%),174.04 K
Fri 05 Jun '26,28.4,28.5,27.8,28.0,−0.4 (−1.41%),226.37 K
Thu 04 Jun '26,28.5,28.7,28.0,28.4,−0.1 (−0.35%),160.23 K
Wed 03 Jun '26,29.0,29.0,28.4,28.5,0.0 (0.00%),61.32 K
Tue 02 Jun '26,29.2,29.2,28.5,28.5,−0.5 (−1.72%),110.81 K
Mon 01 Jun '26,29.3,29.3,28.9,29.0,−0.4 (−1.36%),302.93 K
Fri 29 May '26,29.5,29.8,29.2,29.4,+0.4 (+1.38%),158.38 K
Wed 27 May '26,29.5,29.5,28.8,29.0,0.0 (0.00%),113.07 K
Tue 26 May '26,29.8,29.8,28.7,29.0,0.0 (0.00%),151.41 K
Mon 25 May '26,29.5,29.9,28.9,29.0,0.0 (0.00%),737.19 K
Fri 22 May '26,29.9,29.9,28.5,29.0,−0.8 (−2.68%),202.01 K
Thu 21 May '26,29.8,30.0,29.0,29.8,+0.3 (+1.02%),277.03 K
Wed 20 May '26,31.0,31.0,28.8,29.5,−1.4 (−4.53%),378.22 K
Tue 19 May '26,32.0,32.0,30.5,30.9,−0.6 (−1.90%),291.91 K
Mon 18 May '26,33.0,33.0,30.2,31.5,−3.5 (−10.00%),1.03 M
Fri 15 May '26,36.0,36.0,35.0,35.0,−0.5 (−1.41%),192.58 K
Thu 14 May '26,35.2,36.0,35.0,35.5,+0.2 (+0.57%),71.63 K
Wed 13 May '26,35.2,35.4,35.0,35.3,+0.1 (+0.28%),139.66 K
Tue 12 May '26,34.7,35.4,34.7,35.2,+0.3 (+0.86%),241.3 K
Mon 11 May '26,35.0,35.2,34.6,34.9,−0.1 (−0.29%),193.33 K
Fri 08 May '26,36.0,36.0,34.7,35.0,−0.5 (−1.41%),192.97 K
Thu 07 May '26,35.2,35.8,35.0,35.5,+0.5 (+1.43%),939.97 K
Wed 06 May '26,33.9,35.6,33.8,35.0,+1.0 (+2.94%),230.49 K
Tue 05 May '26,34.0,34.0,33.5,34.0,−0.5 (−1.45%),71.76 K
Mon 04 May '26,33.4,34.5,33.4,34.5,+1.2 (+3.60%),48.4 K
Thu 30 Apr '26,34.2,34.2,33.2,33.3,−0.9 (−2.63%),103.9 K
Wed 29 Apr '26,34.0,34.2,33.7,34.2,0.0 (0.00%),43.66 K
